hparams,last_mean_return
gamma:0.99,0.816
gamma:0.99,0.86
gamma:0.99,0.0
gamma:0.99,0.854
gamma:0.99,0.848
gamma:0.99,0.862
gamma:0.99,0.858
gamma:0.99,0.892
gamma:0.99,0.72
gamma:0.99,0.826
gamma:0.8,0.316
gamma:0.8,0.166
gamma:0.8,0.548
gamma:0.8,0.762
gamma:0.8,0.596
gamma:0.8,0.13
gamma:0.8,0.522
gamma:0.8,0.0
gamma:0.8,0.6
gamma:0.8,0.446
